date,year,month,day,week,weekday_name,is_weekend
2025-01-21,2025,1,21,4,Tuesday,False
2025-01-22,2025,1,22,4,Wednesday,False
2025-01-23,2025,1,23,4,Thursday,False
2025-01-24,2025,1,24,4,Friday,False
2025-01-25,2025,1,25,4,Saturday,True
2025-01-26,2025,1,26,4,Sunday,True
2025-01-27,2025,1,27,5,Monday,False
2025-01-28,2025,1,28,5,Tuesday,False
2025-01-29,2025,1,29,5,Wednesday,False
2025-01-30,2025,1,30,5,Thursday,False
2025-01-31,2025,1,31,5,Friday,False
2025-02-01,2025,2,1,5,Saturday,True
2025-02-02,2025,2,2,5,Sunday,True
2025-02-03,2025,2,3,6,Monday,False
2025-02-04,2025,2,4,6,Tuesday,False
2025-02-05,2025,2,5,6,Wednesday,False
2025-02-06,2025,2,6,6,Thursday,False
2025-02-07,2025,2,7,6,Friday,False
2025-02-08,2025,2,8,6,Saturday,True
2025-02-09,2025,2,9,6,Sunday,True
2025-02-10,2025,2,10,7,Monday,False
2025-02-11,2025,2,11,7,Tuesday,False
2025-02-12,2025,2,12,7,Wednesday,False
2025-02-13,2025,2,13,7,Thursday,False
2025-02-14,2025,2,14,7,Friday,False
2025-02-15,2025,2,15,7,Saturday,True
2025-02-16,2025,2,16,7,Sunday,True
2025-02-17,2025,2,17,8,Monday,False
2025-02-18,2025,2,18,8,Tuesday,False
2025-02-19,2025,2,19,8,Wednesday,False
2025-02-20,2025,2,20,8,Thursday,False
2025-02-21,2025,2,21,8,Friday,False
2025-02-22,2025,2,22,8,Saturday,True
2025-02-23,2025,2,23,8,Sunday,True
2025-02-24,2025,2,24,9,Monday,False
2025-02-25,2025,2,25,9,Tuesday,False
2025-02-26,2025,2,26,9,Wednesday,False
2025-02-27,2025,2,27,9,Thursday,False
2025-02-28,2025,2,28,9,Friday,False
2025-03-01,2025,3,1,9,Saturday,True
2025-03-02,2025,3,2,9,Sunday,True
2025-03-03,2025,3,3,10,Monday,False
2025-03-04,2025,3,4,10,Tuesday,False
2025-03-05,2025,3,5,10,Wednesday,False
2025-03-06,2025,3,6,10,Thursday,False
2025-03-07,2025,3,7,10,Friday,False
2025-03-08,2025,3,8,10,Saturday,True
2025-03-09,2025,3,9,10,Sunday,True
2025-03-10,2025,3,10,11,Monday,False
2025-03-11,2025,3,11,11,Tuesday,False
2025-03-12,2025,3,12,11,Wednesday,False
2025-03-13,2025,3,13,11,Thursday,False
2025-03-14,2025,3,14,11,Friday,False
2025-03-15,2025,3,15,11,Saturday,True
2025-03-16,2025,3,16,11,Sunday,True
2025-03-17,2025,3,17,12,Monday,False
2025-03-18,2025,3,18,12,Tuesday,False
2025-03-19,2025,3,19,12,Wednesday,False
2025-03-20,2025,3,20,12,Thursday,False
2025-03-21,2025,3,21,12,Friday,False
2025-03-22,2025,3,22,12,Saturday,True
2025-03-23,2025,3,23,12,Sunday,True
2025-03-24,2025,3,24,13,Monday,False
2025-03-25,2025,3,25,13,Tuesday,False
2025-03-26,2025,3,26,13,Wednesday,False
2025-03-27,2025,3,27,13,Thursday,False
2025-03-28,2025,3,28,13,Friday,False
2025-03-29,2025,3,29,13,Saturday,True
2025-03-30,2025,3,30,13,Sunday,True
2025-03-31,2025,3,31,14,Monday,False
2025-04-01,2025,4,1,14,Tuesday,False
2025-04-02,2025,4,2,14,Wednesday,False
2025-04-03,2025,4,3,14,Thursday,False
2025-04-04,2025,4,4,14,Friday,False
2025-04-05,2025,4,5,14,Saturday,True
2025-04-06,2025,4,6,14,Sunday,True
2025-04-07,2025,4,7,15,Monday,False
2025-04-08,2025,4,8,15,Tuesday,False
2025-04-09,2025,4,9,15,Wednesday,False
2025-04-10,2025,4,10,15,Thursday,False
2025-04-11,2025,4,11,15,Friday,False
2025-04-12,2025,4,12,15,Saturday,True
2025-04-13,2025,4,13,15,Sunday,True
2025-04-14,2025,4,14,16,Monday,False
2025-04-15,2025,4,15,16,Tuesday,False
2025-04-16,2025,4,16,16,Wednesday,False
2025-04-17,2025,4,17,16,Thursday,False
2025-04-18,2025,4,18,16,Friday,False
2025-04-19,2025,4,19,16,Saturday,True
2025-04-20,2025,4,20,16,Sunday,True
2025-04-21,2025,4,21,17,Monday,False
2025-04-22,2025,4,22,17,Tuesday,False
2025-04-23,2025,4,23,17,Wednesday,False
2025-04-24,2025,4,24,17,Thursday,False
2025-04-25,2025,4,25,17,Friday,False
2025-04-26,2025,4,26,17,Saturday,True
2025-04-27,2025,4,27,17,Sunday,True
2025-04-28,2025,4,28,18,Monday,False
2025-04-29,2025,4,29,18,Tuesday,False
2025-04-30,2025,4,30,18,Wednesday,False
2025-05-01,2025,5,1,18,Thursday,False
2025-05-02,2025,5,2,18,Friday,False
2025-05-03,2025,5,3,18,Saturday,True
2025-05-04,2025,5,4,18,Sunday,True
2025-05-05,2025,5,5,19,Monday,False
2025-05-06,2025,5,6,19,Tuesday,False
2025-05-07,2025,5,7,19,Wednesday,False
2025-05-08,2025,5,8,19,Thursday,False
2025-05-09,2025,5,9,19,Friday,False
2025-05-10,2025,5,10,19,Saturday,True
2025-05-11,2025,5,11,19,Sunday,True
2025-05-12,2025,5,12,20,Monday,False
2025-05-13,2025,5,13,20,Tuesday,False
2025-05-14,2025,5,14,20,Wednesday,False
2025-05-15,2025,5,15,20,Thursday,False
2025-05-16,2025,5,16,20,Friday,False
2025-05-17,2025,5,17,20,Saturday,True
2025-05-18,2025,5,18,20,Sunday,True
2025-05-19,2025,5,19,21,Monday,False
2025-05-20,2025,5,20,21,Tuesday,False
2025-05-21,2025,5,21,21,Wednesday,False
2025-05-22,2025,5,22,21,Thursday,False
2025-05-23,2025,5,23,21,Friday,False
2025-05-24,2025,5,24,21,Saturday,True
2025-05-25,2025,5,25,21,Sunday,True
2025-05-26,2025,5,26,22,Monday,False
2025-05-27,2025,5,27,22,Tuesday,False
2025-05-28,2025,5,28,22,Wednesday,False
2025-05-29,2025,5,29,22,Thursday,False
2025-05-30,2025,5,30,22,Friday,False
2025-05-31,2025,5,31,22,Saturday,True
2025-06-01,2025,6,1,22,Sunday,True
2025-06-02,2025,6,2,23,Monday,False
2025-06-03,2025,6,3,23,Tuesday,False
2025-06-04,2025,6,4,23,Wednesday,False
2025-06-05,2025,6,5,23,Thursday,False
2025-06-06,2025,6,6,23,Friday,False
2025-06-07,2025,6,7,23,Saturday,True
2025-06-08,2025,6,8,23,Sunday,True
2025-06-09,2025,6,9,24,Monday,False
2025-06-10,2025,6,10,24,Tuesday,False
2025-06-11,2025,6,11,24,Wednesday,False
2025-06-12,2025,6,12,24,Thursday,False
2025-06-13,2025,6,13,24,Friday,False
2025-06-14,2025,6,14,24,Saturday,True
2025-06-15,2025,6,15,24,Sunday,True
2025-06-16,2025,6,16,25,Monday,False
2025-06-17,2025,6,17,25,Tuesday,False
2025-06-18,2025,6,18,25,Wednesday,False
2025-06-19,2025,6,19,25,Thursday,False
2025-06-20,2025,6,20,25,Friday,False
2025-06-21,2025,6,21,25,Saturday,True
2025-06-22,2025,6,22,25,Sunday,True
2025-06-23,2025,6,23,26,Monday,False
2025-06-24,2025,6,24,26,Tuesday,False
2025-06-25,2025,6,25,26,Wednesday,False
2025-06-26,2025,6,26,26,Thursday,False
2025-06-27,2025,6,27,26,Friday,False
2025-06-28,2025,6,28,26,Saturday,True
2025-06-29,2025,6,29,26,Sunday,True
2025-06-30,2025,6,30,27,Monday,False
2025-07-01,2025,7,1,27,Tuesday,False
2025-07-02,2025,7,2,27,Wednesday,False
2025-07-03,2025,7,3,27,Thursday,False
2025-07-04,2025,7,4,27,Friday,False
2025-07-05,2025,7,5,27,Saturday,True
2025-07-06,2025,7,6,27,Sunday,True
2025-07-07,2025,7,7,28,Monday,False
2025-07-08,2025,7,8,28,Tuesday,False
2025-07-09,2025,7,9,28,Wednesday,False
2025-07-10,2025,7,10,28,Thursday,False
2025-07-11,2025,7,11,28,Friday,False
2025-07-12,2025,7,12,28,Saturday,True
2025-07-13,2025,7,13,28,Sunday,True
2025-07-14,2025,7,14,29,Monday,False
2025-07-15,2025,7,15,29,Tuesday,False
2025-07-16,2025,7,16,29,Wednesday,False
2025-07-17,2025,7,17,29,Thursday,False
2025-07-18,2025,7,18,29,Friday,False
2025-07-19,2025,7,19,29,Saturday,True
2025-07-20,2025,7,20,29,Sunday,True
2025-07-21,2025,7,21,30,Monday,False
2025-07-22,2025,7,22,30,Tuesday,False
2025-07-23,2025,7,23,30,Wednesday,False
2025-07-24,2025,7,24,30,Thursday,False
2025-07-25,2025,7,25,30,Friday,False
2025-07-26,2025,7,26,30,Saturday,True
2025-07-27,2025,7,27,30,Sunday,True
2025-07-28,2025,7,28,31,Monday,False
2025-07-29,2025,7,29,31,Tuesday,False
2025-07-30,2025,7,30,31,Wednesday,False
2025-07-31,2025,7,31,31,Thursday,False
2025-08-01,2025,8,1,31,Friday,False
2025-08-02,2025,8,2,31,Saturday,True
2025-08-03,2025,8,3,31,Sunday,True
2025-08-04,2025,8,4,32,Monday,False
2025-08-05,2025,8,5,32,Tuesday,False
2025-08-06,2025,8,6,32,Wednesday,False
2025-08-07,2025,8,7,32,Thursday,False
2025-08-08,2025,8,8,32,Friday,False
2025-08-09,2025,8,9,32,Saturday,True
2025-08-10,2025,8,10,32,Sunday,True
2025-08-11,2025,8,11,33,Monday,False
2025-08-12,2025,8,12,33,Tuesday,False
2025-08-13,2025,8,13,33,Wednesday,False
2025-08-14,2025,8,14,33,Thursday,False
2025-08-15,2025,8,15,33,Friday,False
2025-08-16,2025,8,16,33,Saturday,True
2025-08-17,2025,8,17,33,Sunday,True
2025-08-18,2025,8,18,34,Monday,False
2025-08-19,2025,8,19,34,Tuesday,False
2025-08-20,2025,8,20,34,Wednesday,False
2025-08-21,2025,8,21,34,Thursday,False
2025-08-22,2025,8,22,34,Friday,False
2025-08-23,2025,8,23,34,Saturday,True
2025-08-24,2025,8,24,34,Sunday,True
2025-08-25,2025,8,25,35,Monday,False
2025-08-26,2025,8,26,35,Tuesday,False
2025-08-27,2025,8,27,35,Wednesday,False
2025-08-28,2025,8,28,35,Thursday,False
2025-08-29,2025,8,29,35,Friday,False
2025-08-30,2025,8,30,35,Saturday,True
2025-08-31,2025,8,31,35,Sunday,True
2025-09-01,2025,9,1,36,Monday,False
2025-09-02,2025,9,2,36,Tuesday,False
2025-09-03,2025,9,3,36,Wednesday,False
2025-09-04,2025,9,4,36,Thursday,False
2025-09-05,2025,9,5,36,Friday,False
2025-09-06,2025,9,6,36,Saturday,True
2025-09-07,2025,9,7,36,Sunday,True
2025-09-08,2025,9,8,37,Monday,False
2025-09-09,2025,9,9,37,Tuesday,False
2025-09-10,2025,9,10,37,Wednesday,False
2025-09-11,2025,9,11,37,Thursday,False
2025-09-12,2025,9,12,37,Friday,False
2025-09-13,2025,9,13,37,Saturday,True
2025-09-14,2025,9,14,37,Sunday,True
2025-09-15,2025,9,15,38,Monday,False
2025-09-16,2025,9,16,38,Tuesday,False
2025-09-17,2025,9,17,38,Wednesday,False
2025-09-18,2025,9,18,38,Thursday,False
2025-09-19,2025,9,19,38,Friday,False
2025-09-20,2025,9,20,38,Saturday,True
2025-09-21,2025,9,21,38,Sunday,True
2025-09-22,2025,9,22,39,Monday,False
2025-09-23,2025,9,23,39,Tuesday,False
2025-09-24,2025,9,24,39,Wednesday,False
2025-09-25,2025,9,25,39,Thursday,False
2025-09-26,2025,9,26,39,Friday,False
2025-09-27,2025,9,27,39,Saturday,True
2025-09-28,2025,9,28,39,Sunday,True
2025-09-29,2025,9,29,40,Monday,False
2025-09-30,2025,9,30,40,Tuesday,False
2025-10-01,2025,10,1,40,Wednesday,False
2025-10-02,2025,10,2,40,Thursday,False
2025-10-03,2025,10,3,40,Friday,False
2025-10-04,2025,10,4,40,Saturday,True
2025-10-05,2025,10,5,40,Sunday,True
2025-10-06,2025,10,6,41,Monday,False
2025-10-07,2025,10,7,41,Tuesday,False
2025-10-08,2025,10,8,41,Wednesday,False
2025-10-09,2025,10,9,41,Thursday,False
2025-10-10,2025,10,10,41,Friday,False
2025-10-11,2025,10,11,41,Saturday,True
2025-10-12,2025,10,12,41,Sunday,True
2025-10-13,2025,10,13,42,Monday,False
2025-10-14,2025,10,14,42,Tuesday,False
2025-10-15,2025,10,15,42,Wednesday,False
2025-10-16,2025,10,16,42,Thursday,False
2025-10-17,2025,10,17,42,Friday,False
2025-10-18,2025,10,18,42,Saturday,True
2025-10-19,2025,10,19,42,Sunday,True
2025-10-20,2025,10,20,43,Monday,False
2025-10-21,2025,10,21,43,Tuesday,False
2025-10-22,2025,10,22,43,Wednesday,False
2025-10-23,2025,10,23,43,Thursday,False
2025-10-24,2025,10,24,43,Friday,False
2025-10-25,2025,10,25,43,Saturday,True
2025-10-26,2025,10,26,43,Sunday,True
2025-10-27,2025,10,27,44,Monday,False
2025-10-28,2025,10,28,44,Tuesday,False
2025-10-29,2025,10,29,44,Wednesday,False
2025-10-30,2025,10,30,44,Thursday,False
2025-10-31,2025,10,31,44,Friday,False
2025-11-01,2025,11,1,44,Saturday,True
2025-11-02,2025,11,2,44,Sunday,True
2025-11-03,2025,11,3,45,Monday,False
2025-11-04,2025,11,4,45,Tuesday,False
2025-11-05,2025,11,5,45,Wednesday,False
2025-11-06,2025,11,6,45,Thursday,False
2025-11-07,2025,11,7,45,Friday,False
2025-11-08,2025,11,8,45,Saturday,True
2025-11-09,2025,11,9,45,Sunday,True
2025-11-10,2025,11,10,46,Monday,False
2025-11-11,2025,11,11,46,Tuesday,False
2025-11-12,2025,11,12,46,Wednesday,False
2025-11-13,2025,11,13,46,Thursday,False
2025-11-14,2025,11,14,46,Friday,False
2025-11-15,2025,11,15,46,Saturday,True
2025-11-16,2025,11,16,46,Sunday,True
2025-11-17,2025,11,17,47,Monday,False
2025-11-18,2025,11,18,47,Tuesday,False
2025-11-19,2025,11,19,47,Wednesday,False
2025-11-20,2025,11,20,47,Thursday,False
2025-11-21,2025,11,21,47,Friday,False
2025-11-22,2025,11,22,47,Saturday,True
2025-11-23,2025,11,23,47,Sunday,True
2025-11-24,2025,11,24,48,Monday,False
2025-11-25,2025,11,25,48,Tuesday,False
2025-11-26,2025,11,26,48,Wednesday,False
2025-11-27,2025,11,27,48,Thursday,False
2025-11-28,2025,11,28,48,Friday,False
2025-11-29,2025,11,29,48,Saturday,True
2025-11-30,2025,11,30,48,Sunday,True
2025-12-01,2025,12,1,49,Monday,False
2025-12-02,2025,12,2,49,Tuesday,False
2025-12-03,2025,12,3,49,Wednesday,False
2025-12-04,2025,12,4,49,Thursday,False
2025-12-05,2025,12,5,49,Friday,False
2025-12-06,2025,12,6,49,Saturday,True
2025-12-07,2025,12,7,49,Sunday,True
2025-12-08,2025,12,8,50,Monday,False
2025-12-09,2025,12,9,50,Tuesday,False
2025-12-10,2025,12,10,50,Wednesday,False
2025-12-11,2025,12,11,50,Thursday,False
2025-12-12,2025,12,12,50,Friday,False
2025-12-13,2025,12,13,50,Saturday,True
2025-12-14,2025,12,14,50,Sunday,True
2025-12-15,2025,12,15,51,Monday,False
2025-12-16,2025,12,16,51,Tuesday,False
2025-12-17,2025,12,17,51,Wednesday,False
2025-12-18,2025,12,18,51,Thursday,False
2025-12-19,2025,12,19,51,Friday,False
2025-12-20,2025,12,20,51,Saturday,True
2025-12-21,2025,12,21,51,Sunday,True
2025-12-22,2025,12,22,52,Monday,False
2025-12-23,2025,12,23,52,Tuesday,False
2025-12-24,2025,12,24,52,Wednesday,False
2025-12-25,2025,12,25,52,Thursday,False
2025-12-26,2025,12,26,52,Friday,False
2025-12-27,2025,12,27,52,Saturday,True
2025-12-28,2025,12,28,52,Sunday,True
2025-12-29,2025,12,29,1,Monday,False
2025-12-30,2025,12,30,1,Tuesday,False
2025-12-31,2025,12,31,1,Wednesday,False
2026-01-01,2026,1,1,1,Thursday,False
2026-01-02,2026,1,2,1,Friday,False
2026-01-03,2026,1,3,1,Saturday,True
2026-01-04,2026,1,4,1,Sunday,True
2026-01-05,2026,1,5,2,Monday,False
2026-01-06,2026,1,6,2,Tuesday,False
2026-01-07,2026,1,7,2,Wednesday,False
2026-01-08,2026,1,8,2,Thursday,False
2026-01-09,2026,1,9,2,Friday,False
2026-01-10,2026,1,10,2,Saturday,True
2026-01-11,2026,1,11,2,Sunday,True
2026-01-12,2026,1,12,3,Monday,False
2026-01-13,2026,1,13,3,Tuesday,False
2026-01-14,2026,1,14,3,Wednesday,False
2026-01-15,2026,1,15,3,Thursday,False
2026-01-16,2026,1,16,3,Friday,False
2026-01-17,2026,1,17,3,Saturday,True
2026-01-18,2026,1,18,3,Sunday,True
2026-01-19,2026,1,19,4,Monday,False
2026-01-20,2026,1,20,4,Tuesday,False
2026-01-21,2026,1,21,4,Wednesday,False
2026-01-22,2026,1,22,4,Thursday,False
2026-01-23,2026,1,23,4,Friday,False
2026-01-24,2026,1,24,4,Saturday,True
2026-01-25,2026,1,25,4,Sunday,True
2026-01-26,2026,1,26,5,Monday,False
2026-01-27,2026,1,27,5,Tuesday,False
2026-01-28,2026,1,28,5,Wednesday,False
2026-01-29,2026,1,29,5,Thursday,False
2026-01-30,2026,1,30,5,Friday,False
2026-01-31,2026,1,31,5,Saturday,True
2026-02-01,2026,2,1,5,Sunday,True
2026-02-02,2026,2,2,6,Monday,False
2026-02-03,2026,2,3,6,Tuesday,False
2026-02-04,2026,2,4,6,Wednesday,False
